PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
bfd,container,,,,augmented,,Add additional global BFD configuration parameters.
defined-sets,,not-supported,,,,,Not-supported deviation.
keychains,,not-supported,,,,,Not-supported deviation.
qos,container,,,,augmented,,Augment PFC config at /qos/
system,container,,,,augmented,,Add FHRP configuratin to system module.
acl/config,leaf,read+write,container,,,,gNMI-only access
acl/config/prefix-match-mode,leaf,read+write,enumeration,arista-acl-acl-open-config-augment:acl-open-config-oc-acl-prefix-match-mode,,,gNMI-only access
acl/state/counter-capability,leaf,read,identityref,,,,
acl/acl-sets/acl-set/name,leafref,read+write,string,,,,
acl/acl-sets/acl-set/type,leafref,read+write,identityref,,,,
acl/acl-sets/acl-set/config/description,leaf,read+write,string,,,,gNMI-only access
acl/acl-sets/acl-set/config/mode,leaf,read+write,enumeration,arista-acl-acl-open-config-augment:acl-open-config-ocacl-mode,,,gNMI-only access
acl/acl-sets/acl-set/config/name,leaf,read+write,string,,,,
acl/acl-sets/acl-set/config/type,leaf,read+write,identityref,,,,
acl/acl-sets/acl-set/state/description,leaf,read,string,,,,gNMI-only access
acl/acl-sets/acl-set/state/mode,leaf,read,enumeration,arista-acl-acl-open-config-augment:acl-open-config-ocacl-mode,,,gNMI-only access
acl/acl-sets/acl-set/state/name,leaf,read,string,,,,
acl/acl-sets/acl-set/state/type,leaf,read,identityref,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/input-interface,,not-supported,,,,,Input Interface is not supported in EOS
acl/acl-sets/acl-set/acl-entries/acl-entry/mpls,,not-supported,,,,,Not-supported deviation.
acl/acl-sets/acl-set/acl-entries/acl-entry/sequence-id,leaf,read,string,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/config/description,leaf,read+write,string,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/config/rule-name,leaf,read+write,string,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/config/sequence-id,leaf,read+write,uint32,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/state/description,leaf,read,string,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/state/matched-octets,leaf,read,uint64,oc-yang:counter64,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/state/matched-packets,leaf,read,uint64,oc-yang:counter64,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/state/rule-name,leaf,read,string,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/state/sequence-id,leaf,read,uint32,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/actions/config/forwarding-action,leaf,read+write,identityref,,,,Forwarding action REJECT is not supported in EOS
acl/acl-sets/acl-set/acl-entries/acl-entry/actions/config/log-action,leaf,read+write,identityref,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/actions/config/counter/count-action,leaf,read+write,enumeration,arista-acl-acl-open-config-augment:acl-open-config-counter-action,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/actions/state/forwarding-action,leaf,read,identityref,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/actions/state/log-action,leaf,read,identityref,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/actions/state/counter/count-action,leaf,read,enumeration,arista-acl-acl-open-config-augment:acl-open-config-counter-action,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv4/config/cpu-traffic,leaf,read+write,enumeration,arista-acl-acl-open-config-augment:acl-open-config-oc-acl-cpu-ip-traffic,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv4/config/destination-address,leaf,read+write,string,oc-inet:ipv4-prefix,,,"Destination IPv4 address and mask represented as a prefix and mask length, or  an address and 32-bit mask."
